date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:59:46	95829/95829	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Nov%202023%2012:59:46%20GMT	https://slimhamdi.net/tunis-tailwind/demos/light.html	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/light.html	(from )
19:59:47	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Nov%202023%2012:59:47%20GMT	https://slimhamdi.net/robots.txt		(from )
19:59:47	27112/27112	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Oct%202023%2014:54:46%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/css/circle.css	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/css/circle.css	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:48	31000/31000	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Oct%202023%2014:54:47%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/css/font-awesome.min.css	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:48	20182/20182	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Oct%202023%2014:54:46%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/css/component.css	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/css/component.css	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:48	60594/60594	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Oct%202023%2014:54:47%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/css/style.css	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/css/style.css	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:49	1679/1679	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Oct%202023%2014:55:07%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/css/skins/green.css	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/css/skins/green.css	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:49	1678/1678	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Oct%202023%2014:55:06%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/css/skins/blue.css	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/css/skins/blue.css	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:49	1680/1680	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Oct%202023%2014:55:07%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/css/skins/yellow.css	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/css/skins/yellow.css	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:50	1684/1684	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Oct%202023%2014:55:07%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/css/skins/blueviolet.css	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/css/skins/blueviolet.css	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:50	1683/1683	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Oct%202023%2014:55:07%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/css/skins/goldenrod.css	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/css/skins/goldenrod.css	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:50	1681/1681	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Oct%202023%2014:55:07%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/css/skins/magenta.css	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/css/skins/magenta.css	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:51	1680/1680	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Oct%202023%2014:55:07%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/css/skins/orange.css	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/css/skins/orange.css	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:51	1680/1680	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Oct%202023%2014:55:07%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/css/skins/purple.css	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/css/skins/purple.css	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:52	1677/1677	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Oct%202023%2014:55:07%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/css/skins/red.css	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/css/skins/red.css	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:53	1685/1685	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Oct%202023%2014:55:08%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/css/skins/yellowgreen.css	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/css/skins/yellowgreen.css	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:53	5128/5128	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Oct%202023%2014:54:47%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/css/styleswitcher.css	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/css/styleswitcher.css	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:55	11084/11084	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2022%20Oct%202023%2014:55:05%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/js/modernizr.min.js	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/js/modernizr.min.js	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:55	608/608	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Oct%202023%2014:55:25%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/img/styleswitcher/purple.png	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/img/styleswitcher/purple.png	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:55	1539/1539	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Oct%202023%2014:55:26%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/img/styleswitcher/red.png	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/img/styleswitcher/red.png	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:55	610/610	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Oct%202023%2014:55:22%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/img/styleswitcher/blueviolet.png	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/img/styleswitcher/blueviolet.png	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
19:59:56	610/610	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Oct%202023%2014:55:21%20GMT	https://slimhamdi.net/tunis-tailwind/demos/assets/img/styleswitcher/blue.png	C:/My%20Web%20Sites/portfolio/slimhamdi.net/tunis-tailwind/demos/assets/img/styleswitcher/blue.png	(from https://slimhamdi.net/tunis-tailwind/demos/light.html)
